uid	Health	acquariumType	age	alive	ancestors	birth	color	deathNum	fishInVision	foodInVision	generation	hitbox	lenX	lenY	lookingBounds	parent	showVision	uid	visionValueFront	visionValueLeft	visionValueRight	x	y
24459	200	Fish	15005	False	56995,14135,32022,	39675	(160, 120, 115)	15000	[60889, 13679]	[58637, 31632, 26567, 1413, 3695, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 16466, 33331, 28902, 7100, 29822, 25924, 7536]	4	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)	32022	True	24459	60	10	10	733	454
12625	200	Fish	15005	False	56995,14135,32022,24459,	48983	(158, 29, 230)	15000	[21923, 8285]	[58637, 31632, 26567, 1413, 3695, 3014, 15655, 19633, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 16466, 33331, 28902, 7100, 29822, 25924, 7536, 10426, 56696, 47918, 2484, 5210, 55107, 19748, 53067, 35945, 41708]	5	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)	24459	True	12625	60	10	10	733	454
36981	200	Fish	15005	False	56995,14135,32022,24459,12625,	56607	(229, 60, 69)	15000	[5388, 53612]	[58637, 31632, 26567, 1413, 3695, 3014, 15655, 19633, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 33331, 28902, 7100, 29822, 25924, 7536, 10426, 56696, 47918, 2484, 5210, 55107, 19748, 53067, 35945, 41708]	6	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)	12625	True	36981	60	10	10	733	454
41686	200	Fish	15005	False	56995,14135,32022,24459,12625,36981,	59978	(108, 31, 237)	15000	[59594, 31013]	[58637, 31632, 26567, 1413, 3695, 3014, 15655, 19633, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 33331, 28902, 7100, 29822, 25924, 7536, 10426, 56696, 47918, 2484, 5210, 55107, 19748, 53067, 35945, 41708]	7	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)	36981	True	41686	60	10	10	733	454
13679	175	Fish	2159	True		46811	(247, 238, 50)	15000	[60889]	[31632, 1413, 3695, 43355, 3014, 19633, 37756, 40334, 16466, 33331]	1	(681, 667, 60, 60)	60	60	(621, 607, 801, 787)		True	13679	60	10	10	681	667
4823	200	Fish	7612	True	13679,	48983	(167, 250, 74)	15000	[21923, 8285]	[31632, 47216, 1413, 3695, 3014, 15655, 19633, 23878, 37756, 40334, 35335, 16466, 33331, 7536, 56696, 50687, 47918, 35317, 19748]	2	(637, 597, 60, 60)	60	60	(577, 537, 757, 717)	13679	True	4823	60	10	10	637	597
34313	200	Fish	3361	True	13679,4823,	56607	(150, 89, 168)	15000	[53612]	[31632, 42961, 47216, 1413, 3695, 3014, 19633, 23878, 37756, 40334, 35335, 33331, 7536, 56696, 50687, 47918, 35317, 14166]	3	(584, 612, 60, 60)	60	60	(524, 552, 704, 732)	4823	True	34313	60	10	10	584	612
757	200	Fish	1766	True	13679,4823,34313,	59978	(149, 38, 236)	15000	[59594]	[31632, 42961, 47216, 1413, 3695, 3014, 19633, 23878, 37756, 40334, 35335, 33331, 7536, 56696, 50687, 47918, 35317]	4	(606, 605, 60, 60)	60	60	(546, 545, 726, 725)	34313	True	757	60	10	10	606	605
22452	175	Fish	945	True		55650	(245, 171, 53)	15000	[]	[4540, 39191, 45214, 51925, 60346, 53040, 47854, 58366, 51414, 51879, 26397, 8418, 12202, 2754, 44921, 51481, 8231, 40848, 7846, 8467, 50845, 42234]	1	(513, 55, 60, 60)	60	60	(453, -5, 633, 175)		True	22452	60	10	10	513	55
7029	200	Fish	3361	True	22452,	56607	(142, 147, 13)	15000	[]	[39191, 45214, 15689, 51925, 60346, 61438, 53040, 47854, 58366, 51414, 51879, 26397, 59769, 8418, 12202, 37299, 2754, 44921, 51481, 32770, 32547, 18375, 14816, 13903, 23605, 45247, 40848, 7846, 8467, 50845, 42234]	2	(522, 89, 60, 60)	60	60	(462, 29, 642, 209)	22452	True	7029	60	10	10	522	89
26197	250	Fish	1766	True	22452,7029,	59978	(166, 21, 180)	15000	[42205]	[28675, 39191, 10958, 15689, 51925, 60346, 61438, 6773, 53040, 47854, 58366, 51414, 51879, 26397, 59769, 8418, 12202, 37299, 2754, 44921, 51481, 32770, 18375, 55910, 61513, 14816, 13903, 23605, 6625, 45247, 7846, 8467, 47349, 4227, 42234]	3	(531, 103, 60, 60)	60	60	(471, 43, 651, 223)	7029	True	26197	60	10	10	531	103
4224	175	Fish	15005	False		18381	(242, 197, 184)	15000	[56995, 21150]	[50908, 36068, 19078, 15503, 42315, 42961, 39494, 47216, 1413, 43355, 57153, 15655, 19633, 38199, 51499, 2072, 30584, 40906, 7195, 41524, 33331, 28902, 7100, 59723, 25924, 17406, 43077]	1	(450, 351, 60, 60)	60	60	(390, 291, 570, 471)		True	4224	60	10	10	450	351
26658	175	Fish	15005	False	4224,	36170	(164, 159, 1)	15000	[14135, 42045]	[50908, 36068, 19078, 15503, 42315, 42961, 39494, 47216, 1413, 43355, 57153, 15655, 19633, 38199, 51499, 2072, 30584, 40906, 7195, 41524, 33331, 28902, 7100, 59723, 25924, 17406, 43077]	2	(450, 351, 60, 60)	60	60	(390, 291, 570, 471)	4224	True	26658	60	10	10	450	351
9575	175	Fish	15005	False	4224,26658,	38482	(119, 121, 19)	15000	[32022, 14945]	[50908, 36068, 19078, 15503, 42315, 42961, 39494, 47216, 1413, 43355, 57153, 15655, 19633, 38199, 51499, 2072, 30584, 40906, 7195, 41524, 33331, 28902, 7100, 59723, 25924, 17406, 43077]	3	(450, 351, 60, 60)	60	60	(390, 291, 570, 471)	26658	True	9575	60	10	10	450	351
25674	175	Fish	15005	False	4224,26658,9575,	39675	(106, 170, 209)	15000	[24459, 49481, 13679]	[50908, 36068, 42315, 42961, 39494, 47216, 1413, 43355, 57153, 15655, 19633, 38199, 51499, 30584, 33331, 28902, 7100, 59723, 25924, 17406, 43077]	4	(450, 351, 60, 60)	60	60	(390, 291, 570, 471)	9575	True	25674	60	10	10	450	351
19389	175	Fish	15005	False	4224,26658,9575,25674,	48983	(171, 60, 154)	15000	[12625, 47825, 4823, 57474]	[36068, 42315, 42961, 39494, 47216, 1413, 57153, 15655, 19633, 38199, 51499, 30584, 33331, 28902, 7100, 59723, 25924, 17406, 43077, 54547, 56950, 43472, 37405, 28328, 35317, 1993, 6622, 52060, 55494, 6795, 23660, 14751, 10064]	5	(450, 351, 60, 60)	60	60	(390, 291, 570, 471)	25674	True	19389	60	10	10	450	351
49267	175	Fish	15005	False	4224,26658,9575,25674,19389,	56607	(168, 238, 237)	15000	[36981, 34313, 62442]	[36068, 42315, 42961, 39494, 47216, 1413, 57153, 15655, 19633, 38199, 51499, 30584, 33331, 28902, 7100, 59723, 25924, 17406, 43077, 54547, 56950, 43472, 37405, 28328, 35317, 1993, 6622, 52060, 55494, 6795, 23660, 14751, 10064]	6	(450, 351, 60, 60)	60	60	(390, 291, 570, 471)	19389	True	49267	60	10	10	450	351
47766	175	Fish	15005	False	4224,26658,9575,25674,19389,49267,	59978	(233, 73, 91)	15000	[41686, 757, 27355]	[36068, 42315, 42961, 39494, 47216, 1413, 57153, 15655, 19633, 38199, 51499, 30584, 33331, 28902, 7100, 59723, 25924, 17406, 43077, 54547, 56950, 43472, 37405, 28328, 35317, 1993, 6622, 52060, 55494, 6795, 23660, 14751, 10064]	7	(450, 351, 60, 60)	60	60	(390, 291, 570, 471)	49267	True	47766	60	10	10	450	351
8285	150	Fish	945	True		55650	(71, 193, 64)	15000	[21923]	[58637, 3695, 40334, 33753, 16466, 56696, 19748]	1	(1202, 600, 60, 60)	60	60	(1142, 540, 1322, 720)		True	8285	60	10	10	1202	600
53612	175	Fish	3361	True	8285,	56607	(35, 220, 73)	15000	[5388]	[58637, 3695, 40334, 33753, 41536, 56696, 19748]	2	(1212, 584, 60, 60)	60	60	(1152, 524, 1332, 704)	8285	True	53612	60	10	10	1212	584
59594	175	Fish	1766	True	8285,53612,	59978	(165, 107, 226)	15000	[31013]	[58637, 40334, 33753, 41536, 56696, 19748]	3	(1220, 568, 60, 60)	60	60	(1160, 508, 1340, 688)	53612	True	59594	60	10	10	1220	568
43097	150	Fish	15005	False		18381	(113, 74, 142)	15000	[7984]	[58637, 26567, 3695, 33566, 23878, 11488, 40334, 44608, 33753, 41536, 16466, 57765]	1	(1168, 379, 60, 60)	60	60	(1108, 319, 1288, 499)		True	43097	60	10	10	1168	379
12219	150	Fish	15005	False	43097,	36170	(108, 252, 163)	15000	[29799]	[58637, 26567, 3695, 33566, 23878, 11488, 40334, 44608, 33753, 41536, 16466, 57765]	2	(1168, 379, 60, 60)	60	60	(1108, 319, 1288, 499)	43097	True	12219	60	10	10	1168	379
13665	150	Fish	15005	False	43097,12219,	38482	(220, 24, 134)	15000	[14867]	[58637, 26567, 3695, 33566, 23878, 11488, 40334, 44608, 33753, 41536, 16466, 57765]	3	(1168, 379, 60, 60)	60	60	(1108, 319, 1288, 499)	12219	True	13665	60	10	10	1168	379
